iamatology 	study of remedies
iamb 	poetic foot consisting of short then a long syllable
ianthine 	violet-coloured
iatraliptic 	relating to the curing of diseases by means of unguents
iatramelia 	medical negligence
iatrarchy 	government by physicians
iatrochemistry 	application of chemistry to medical theory
iatrogenic 	induced inadvertently by medical treatment
iatrology 	treatise or text on medical topics
iatromathematics 	archaic practice of medicine in conjunction with astrology
iatrophobia 	fear of going to the doctor
ibidem 	in the same place
iceblink 	glare in the sky caused by light reflected off ice
ichneumous 	parasitical
ichneutic 	of, like or pertaining to a tracker or tracking
ichnite 	fossilized footprint
ichnogram 	footprint
ichnography 	art of drawing ground plans
ichnology 	science of fossilized footprints
ichnomancy 	divination using footprints
ichthyic 	of, resembling or pertaining to fish
ichthyoid 	fishlike
ichthyolatry 	the worship of fish
ichthyology 	study of fish
ichthyomancy 	divination by inspecting fish entrails
ichthyomorphic 	shaped like a fish
ichthyophagous 	fish-eating
ichthyopolist 	fish seller
iconoclasm 	attacking of established beliefs
iconography 	study of drawing symbols
iconolagny 	sexual stimulation from pictures or statues
iconolatry 	image-worship
iconology 	study of icons; symbols
iconomachy 	opposition to the worship of images or icons
iconomancy 	divination using icons
iconomania 	obsession with icons or portraits
iconomatic 	using pictures to represent sounds of words
iconometer 	instrument for finding size of object by measuring its image
iconophilism 	a taste for pictures and symbols
iconoplast 	one who makes images or icons
iconostasis 	screen or partition in Eastern churches with tiers of icons
icterical 	of, like or pertaining to or suffering from jaundice
icterine 	yellowish or marked with yellow
icterine 	of, like or pertaining to orioles and related birds
icteritious 	jaundiced; yellow
ictus 	stress in poetry or verse
idempotent 	quantity which does not change when squared
ideogenous 	being of mental origin
ideogeny 	study of origins of ideas
ideogram 	symbol that stands for a concept rather than a word
ideophone 	word that is spoken but not written
ideopraxist 	one who is impelled to carry out an idea
idiochromatic 	having unique or distinctive coloration
idiocrasis 	intrinsic peculiarity or unique feature
idioglossia 	private language developed between children
idiograph 	private mark; trademark
idiolect 	distinctive individual form of speech
idiologism 	personal speech peculiarity
idiomology 	study of idiom, jargon or dialect
idiomorphic 	having a unique or distinct form
idiopathic 	disease particular to an individual
idiophone 	percussion instrument made of naturally resonant material
idiorhythmic 	self-regulating
idiothermous 	warm-blooded
idioticon 	vocabulary of a particular district
idolomancy 	divination using idols
idolomania 	obsession or devotion to idols
idolothyte 	sacrifice presented to an idol
idolum 	mental image; logical fallacy
idoneous 	suitable; appropriate
ifsoever 	if ever
ignavia 	laziness; laxity
ignescent 	capable of emitting sparks; of a volatile mood
ignicolist 	fire-worshipper
ignify 	to burn
ignipotent 	presiding over fire
ignivomous 	vomiting or spewing forth fire
ignoscency 	forgiveness
ignotism 	mistake due to ignorance
ilastical 	propitiatory; expiatory
iliac 	of, like or pertaining to the loins
ilicic 	of, like or pertaining to holly
ilke 	kind or nature
illapse 	to glide in
illaqueate 	to ensnare
illation 	the act of inferring from premises
illative 	indicating movement into or toward
illaudable 	not praiseworthy
illeist 	one who refers to oneself in the third person
illimitable 	limitlessly infinite
illinition 	act of rubbing against or on
illiquation 	the melting of one thing into another
illision 	the act of striking against something
illocution 	an act which is performed by speaking words
illude 	to trick
illuminism 	belief in an inward spiritual light
illusionism 	belief that the external world is philosophy
illutation 	mud bath
illuvium 	material dissolved in water and deposited in layers
imagism 	doctrine of use of precise images with unrestricted subject
imago 	idealized mental image of a person
imbibition 	the absorption of a liquid by a solid or gel
imbreviate 	to enroll
imbricate 	to lay overlapping one another
imbroglio 	confusing or disturbing situation; confused mass or heap
imbrue 	to wet or moisten
imbrute 	to degrade to the state of a brute
imburse 	to put in a purse; to pay
immanation 	flowing in
immanent 	inherent; permanently pervading the universe
immanentism 	belief in an immanent or permanent god
immarcescible 	unfading; imperishable
immaterialism 	the doctrine that there is no material substance
immeability 	state of being impassable or impermeable
immerge 	to immerse; to dip into water
immeritous 	undeserving
imminution 	lessening; decreasing
immiseration 	progressive impoverishment or degradation
immission 	insertion; infusion
immix 	to commingle
immoralism 	rejection of morality
immortelle 	everlasting dried flower
immunifacient 	causing immunity
immunogenetics 	study of genetic characteristics of immunity
immunogenic 	producing an immune response
immunopathology 	study of immunity to disease
immure 	to imprison; to shut in
impacable 	not able to be quieted or appeased
impanate 	embodied in bread
imparidigitate 	having an odd number of fingers on each limb
imparlance 	delay in pleading for amicable adjustment
impaste 	to lay paint or colours thickly on
impavid 	fearless; undaunted
impecunious 	without money; penniless
impedimenta 	things that impede; baggage
impedimentary 	hindering; obstructing
impennate 	featherless; wingless
imperscriptible 	not recorded; unwritten
imperseverant 	lacking the power to perceive
impest 	to infest with plague or pestilence
impetrate 	to obtain by entreaty, request or prayer
impignorate 	to pledge, pawn or mortgage
impleach 	to intertwine
impletion 	filling; fullness; fulfilment
implex 	not simple; involved; complicated
implodent 	an implosive sound
implumous 	without feathers
imponent 	that which imposes an obligation
importune 	to press or urge with repeated requests
impostume 	abscess
imprecate 	to call down by prayer; to curse; to invoke evil on
imprescriptible 	inalienable
imprest 	a loan or advance of money
imprimatur 	licence to print a book
imprimis 	in the first place
imprimitive 	not primitive
impropriate 	to appropriate for private use
improvident 	lacking foresight; thoughtless
impudicity 	shamelessness
impugn 	to oppose; to attack by words or arguments
imputation 	attribution of fault to
imsonic 	onomatopoetic
inaniloquent 	prone to foolish or empty babbling
inanition 	emptiness; starvation
inappetent 	lacking desire or appetite
inapt 	unfit or unqualified
inaurate 	gilded; golden
inbeing 	inherence; inherent existence
inboard 	inside the line of a ship's bulwarks or hull
incalescent 	growing warm
incanous 	covered with soft white hair
incardination 	acceptance by a diocese of clergyman from another diocese
incarnadine 	carnation-coloured; blood-red
incatenation 	harnessing; chaining together
incede 	to advance majestically
incendivity 	the power of causing ignition
incentivize 	to be given an incentive
incept 	to take into the body; ingest
inceptive 	marking the beginning or formation
inchoate 	undeveloped; just begun
incipient 	beginning; in an early stage
incivism 	neglect of duty as a citizen
inclinometer 	instrument for measuring inclination to the horizontal of an axis
incommiscible 	unable to be mixed or intermingled
incommode 	to cause trouble or inconvenience to
incommutable 	that cannot be commuted or exchanged
incompossible 	incapable of coexisting
inconcinnity 	lack of congruousness or proportion
incondite 	not well put together; poorly constructed
inconscient 	unconscious; abstracted
incoronate 	crowned
incorpse 	to incorporate
incrassate 	to thicken
increscent 	waxing
incubus 	nightmare; burden
inculcate 	implant in by persistent urging
inculpate 	to blame; to incriminate
incult 	uncultivated; coarse
incunabulist 	one who collects early books
incunabulum 	early printed book; early version of a thing
incuse 	impressed or stamped upon
indagate 	to search out; to investigate
indehiscent 	not opening when mature
indicia 	indicating marks or symptoms
indifferentism 	the belief that all religions are equally valid
indigence 	poverty; state of being needy
indign 	unworthy; disgraceful; unseemly
indigo 	deep blue-violet colour; a blue-violet dye
indiscerptible 	not able to be separated
indite 	to compose
individualism 	belief that individual interests and rights are paramount
indoles 	inherent disposition
induciae 	peace treaty or armistice
indue 	to supply; to endow
